
|  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |
| :-: | :-: | :-: | :-: | :-: | :-: | :-: | :-: | :-: | :-: | :-: | :-: | :-: | :-: | :-: | :-: | :-: | :-: | :-: | :-: | :-: | :-: | :-: | :-: | :-: | :-: | :-: | :-: | :-: | :-: | :-: | :-: | :-: | :-: | :-: | :-: | :-: | :-: | :-: | :-: | :-: | :-: | :-: | :-: | :-: | :-: | :-: | :-: | :-: | :-: | :-: | :-: | :-: | :-: | :-: | :-: | :-: | :-: | :-: | :-: | :-: |
| 9/15/2026 | \# Weeks | 10 |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |
| 3 |  | 2 | 3 | 4 | 5 | 6 | 7 | 8 | 9 | 10 | 11 | 12 | 13 | 14 | 15 | 16 | 17 | 18 | 19 | 20 | 21 | 22 | 23 | 24 | 25 | 26 | 27 | 28 | 29 | 30 | 31 | 32 | 33 | 34 | 35 | 36 | 37 | 38 | 39 | 40 | 41 | 42 | 43 | 44 | 45 | 46 | 47 | 48 | 49 |  |  |  |  | 55 |  |  | 50 | 51 | 52 | 53 |
| 9/11/2026 |  | \[merged\] U.S. B2B Invoiced Sales | \[merged\] U.S. B2B Invoiced Sales | \[merged\] eCommerce (ex. Website) | \[merged\] eCommerce (ex. Website) | \[merged\] Johnny B     B2C  Sales | \[merged\] Johnny B     B2C  Sales | \[merged\] Website Sales | \[merged\] Website Sales | \[merged\] Inventory Level | \[merged\] Inventory Level | \[merged\] OPEN Factory P.O.s | \[merged\] OPEN Factory P.O.s | \[merged\]  | \[merged\]  | \[merged\] Inventory Discrepancy | \[merged\] Inventory Discrepancy | \[merged\] A/R Total | \[merged\] A/R Total | \[merged\] A/R Past Due (Incl. in Total) | \[merged\] A/R Past Due (Incl. in Total) | \[merged\] Artwork Out the Door | \[merged\] Artwork Out the Door | \[merged\] NEW Social Follow/Subs | \[merged\] NEW Social Follow/Subs | \[merged\] INT'L B2B Invoiced Sales | \[merged\] INT'L B2B Invoiced Sales | \[merged\] Weekly B2B Orders | \[merged\] Weekly B2B Orders | \[merged\] Defective Returns | \[merged\] Defective Returns | \[merged\] Customer Returns | \[merged\] Customer Returns | \[merged\] Shipping Time (\# Days) | \[merged\] Shipping Time (\# Days) | \[merged\] Weekly Gross Margin | \[merged\] Weekly Gross Margin | \[merged\] Pre-orders/  Backorders | \[merged\] Pre-orders/  Backorders | \[merged\] Invoice Errors & Shortages | \[merged\] Invoice Errors & Shortages | \[merged\] Product Reviews | \[merged\] Product Reviews | \[merged\] In-Stock Percentage % | \[merged\] In-Stock Percentage % | \[merged\] Repair Rate | \[merged\] Repair Rate | \[merged\] Education Events | \[merged\] Education Events |  | \[merged\]  | \[merged\]  | \[merged\]  | \[merged\]  |  |  | \[merged\] Guru Cards | \[merged\] Guru Cards | \[merged\] Beauty Sales | \[merged\] Beauty Sales |
| 9/4/26 | week | ValueA | GoalA | ValueB | GoalB | ValueC | GoalC | ValueD | GoalD | ValueE | GoalE | ValueF | GoalF | ValueG | GoalG | ValueH | GoalH | ValueI | GoalI | ValueJ | GoalJ | ValueK | GoalK | ValueL | GoalL | ValueM | GoalM | ValueN | GoalN | ValueO | GoalO | ValueP | GoalP | ValueQ | GoalQ | ValueR | GoalR | ValueS | GoalS | ValueT | GoalT | ValueU | GoalU | ValueV | GoalV | ValueV | GoalV | ValueW | GoalW |  | in stock goal | Shipping goal | Education Goal | Web Ad Sales Goals | Social Goal |  | ValueX | GoalX | ValueY | GoalY |
| 8/28/26 | Jul-10 | $562,000.0 | $573,000.0 | $584,000.0 | $595,000.0 | $606,000.0 | $617,000.0 | $628,000.0 | $639,000.0 | $650,000.0 | $661,000.0 | $672,000.0 | $683,000.0 | $694,000.0 |  | \-$716,000.0 | $727,000.0 | $738,000.0 | $749,000.0 | $760,000.0 | 6 | 7 | 793,000 | 804,000 | 815,000 | $826,000.0 | $837,000.0 | $848,000.0 | $859,000.0 | $870,000.0 | $881,000.0 | $892,000.0 | $0.43 | 0.44 | 0.45 | $0.46 | $947,000.0 | $958,000.0 | $969,000.0 | 980,000 | 2 | 3 | 0.53 | 0.54 | 0.55 | 0.56 | 8 | 1 | 1,079,000 |  | 1,101,000 | 1,112,000 | 1,123,000 | 1,134,000 | 1,145,000 |  | 1 | 111,000 | 122,000 | 133,000 |
| 8/21/26 | Jul-17 | $166,000.0 | $177,000.0 | $188,000.0 | $199,000.0 | $210,000.0 | $221,000.0 | $232,000.0 | $243,000.0 | $254,000.0 | $265,000.0 | $276,000.0 | $287,000.0 | $298,000.0 |  | \-$320,000.0 | $331,000.0 | $342,000.0 | $353,000.0 | $364,000.0 | 2 | 3 | 397,000 | 408,000 | 419,000 | $430,000.0 | $441,000.0 | $452,000.0 | $463,000.0 | $474,000.0 | $485,000.0 | $496,000.0 | $0.67 | 0.68 | 0.69 | $0.70 | $551,000.0 | $562,000.0 | $573,000.0 | 584,000 | 6 | 7 | 0.77 | 0.78 | 0.79 |  | 4 | 5 | 683,000 |  | 705,000 | 716,000 | 727,000 | 738,000 | 749,000 |  | 6 | 782,000 | 793,000 | 804,000 |
| 8/14/26 | Jul-24 | $837,000.0 | $848,000.0 | $859,000.0 | $870,000.0 | $881,000.0 | $892,000.0 | $903,000.0 | $914,000.0 | $925,000.0 | $936,000.0 | $947,000.0 | $958,000.0 | $969,000.0 |  | \-$991,000.0 | $1,002,000.0 | $1,013,000.0 | $1,024,000.0 | $1,035,000.0 | 7 | 8 | 1,068,000 | 1,079,000 | 1,090,000 | $1,101,000.0 | $1,112,000.0 | $1,123,000.0 | $1,134,000.0 | $1,145,000.0 | $1,156,000.0 | $100,000.0 | $0.31 | 0.32 | 0.33 | $0.34 | $155,000.0 | $166,000.0 | $177,000.0 | 188,000 | 2 | 3 | 0.41 | 0.42 | 0.43 | 0.44 | 8 |  |  |  | 309,000 | 320,000 | 331,000 | 342,000 | 353,000 |  | 2 | 386,000 | 397,000 | 408,000 |
| 8/7/26 | Jul-31 | $441,000.0 | $452,000.0 | $463,000.0 | $474,000.0 | $485,000.0 | $496,000.0 | $507,000.0 | $518,000.0 | $529,000.0 | $540,000.0 | $551,000.0 | $562,000.0 | $573,000.0 |  | \-$595,000.0 | $606,000.0 | $617,000.0 | $628,000.0 | $639,000.0 | 3 | 4 | 672,000 | 683,000 | 694,000 | $705,000.0 | $716,000.0 | $727,000.0 | $738,000.0 | $749,000.0 | $760,000.0 | $771,000.0 | $0.32 | 0.33 | 0.34 | $0.35 | $826,000.0 | $837,000.0 | $848,000.0 | 859,000 | 7 | 8 | 0.42 | 0.43 | 0.44 | 0.45 | 5 | 6 | 958,000 |  | 980,000 | 991,000 | 1,002,000 | 1,013,000 | 1,024,000 |  | 7 | 1,057,000 | 1,068,000 | 1,079,000 |
